Entrez_Gene_Id,DepMap_ID
5295,ACH-000091
146760,ACH-000092
3383,ACH-000092
1088,ACH-000092
84700,ACH-000092
10142,ACH-000092
2899,ACH-000093
10026,ACH-000093
2977,ACH-000093
3845,ACH-000093
90417,ACH-000093
9710,ACH-000093
23451,ACH-000093
3745,ACH-000093
128553,ACH-000093
10343,ACH-000093
389151,ACH-000093
339976,ACH-000093
577,ACH-000093
9462,ACH-000094
83872,ACH-000094
9645,ACH-000094
120114,ACH-000094
3845,ACH-000094
4753,ACH-000094
7157,ACH-000094
147372,ACH-000094
56103,ACH-000094
25758,ACH-000095
2077,ACH-000095
11078,ACH-000095
152789,ACH-000095
647024,ACH-000095
0,ACH-000095
81328,ACH-000096
10205,ACH-000096
121214,ACH-000096
7157,ACH-000096
1767,ACH-000096
730,ACH-000096
56126,ACH-000096
8564,ACH-000097
5728,ACH-000097
23568,ACH-000097
55022,ACH-000097
10326,ACH-000097
4668,ACH-000097
25920,ACH-000097
8516,ACH-000098
7681,ACH-000098
7157,ACH-000098
8291,ACH-000098
58508,ACH-000098
146183,ACH-000099
23223,ACH-000100
7157,ACH-000100
3938,ACH-000100
11064,ACH-000100
4893,ACH-000101
7090,ACH-000101
7157,ACH-000101
7157,ACH-000101
9353,ACH-000101
55756,ACH-000101
911,ACH-000102
5728,ACH-000102
0,ACH-000102
50515,ACH-000102
5925,ACH-000102
283870,ACH-000102
7157,ACH-000102
1406,ACH-000102
321,ACH-000103
8483,ACH-000103
9312,ACH-000103
114788,ACH-000103
783,ACH-000104
10003,ACH-000104
7157,ACH-000104
4613,ACH-000104
3059,ACH-000104
7162,ACH-000104
9774,ACH-000104
136895,ACH-000104
114788,ACH-000104
57462,ACH-000104
390064,ACH-000105
1767,ACH-000105
94025,ACH-000106
60526,ACH-000106
80133,ACH-000107
3845,ACH-000107
7157,ACH-000107
60676,ACH-000108
7044,ACH-000108
81469,ACH-000108
3845,ACH-000108
84166,ACH-000108
463,ACH-000108
7157,ACH-000108
4620,ACH-000108
773,ACH-000108
23024,ACH-000108
6674,ACH-000108
158326,ACH-000108
23316,ACH-000109
7157,ACH-000109
7541,ACH-000109
57616,ACH-000109
1084,ACH-000109
7456,ACH-000109
337972,ACH-000109
0,ACH-000109
256227,ACH-000109
1956,ACH-000109
9228,ACH-000109
59269,ACH-000110
7157,ACH-000110
80700,ACH-000110
7148,ACH-000110
221468,ACH-000110
3908,ACH-000110
654463,ACH-000110
27130,ACH-000110
23352,ACH-000111
5321,ACH-000111
3698,ACH-000111
4060,ACH-000111
4792,ACH-000111
84894,ACH-000111
146760,ACH-000111
79665,ACH-000111
9582,ACH-000111
81328,ACH-000112
8085,ACH-000112
196385,ACH-000112
1788,ACH-000112
0,ACH-000112
5796,ACH-000112
673,ACH-000112
219965,ACH-000113
140807,ACH-000113
220134,ACH-000113
129787,ACH-000113
373856,ACH-000113
2894,ACH-000114
3845,ACH-000114
7157,ACH-000114
56129,ACH-000114
1523,ACH-000114
158471,ACH-000114
4920,ACH-000114
113146,ACH-000115
26189,ACH-000115
7157,ACH-000115
147741,ACH-000115
53827,ACH-000115
8604,ACH-000115
8320,ACH-000115
285220,ACH-000115
10320,ACH-000115
7157,ACH-000116
55799,ACH-000116
27145,ACH-000116
7157,ACH-000117
7691,ACH-000117
5290,ACH-000117
1400,ACH-000117
23173,ACH-000117
84243,ACH-000118
3845,ACH-000118
7157,ACH-000118
1261,ACH-000118
2736,ACH-000118
10388,ACH-000118
4893,ACH-000120
10938,ACH-000120
219865,ACH-000120
10732,ACH-000120
6314,ACH-000120
7157,ACH-000121
284434,ACH-000121
256227,ACH-000121
58524,ACH-000121
26011,ACH-000122
53373,ACH-000122
2175,ACH-000122
7157,ACH-000122
7157,ACH-000122
1607,ACH-000122
27130,ACH-000123
4893,ACH-000124
9152,ACH-000124
596,ACH-000124
10461,ACH-000124
2778,ACH-000124
389207,ACH-000124
2740,ACH-000124
8989,ACH-000124
1378,ACH-000125
4799,ACH-000125
1474,ACH-000126
6093,ACH-000126
339977,ACH-000126
2566,ACH-000126
673,ACH-000126
3265,ACH-000127
414301,ACH-000127
29803,ACH-000127
5728,ACH-000128
